id,name,description,assignable,category,creationDate,lastModificationDate,creationUser,lastModificationUser
1681,ADMIN_CON_TEF_EXTERNO,ADMIN_CON_TEF_EXTERNO,true,PERFIL,2015-03-20T11:53:09.151+01:00,2015-03-20T11:53:09.151+01:00,MPAJE4F,MPAJE4F
122,ADMIN_CON_TELEFONIA,ADMIN_CON_TELEFONIA,true,PERFIL,2012-06-19T16:49:30.954+02:00,2012-06-19T16:49:30.954+02:00,MPAJE4F,MPAJE4F
582,ADMIN_DOC_LOPD,ADMIN_DOC_LOPD,true,PERFIL,2013-12-05T11:55:37.932+01:00,2013-12-05T11:55:37.932+01:00,MPAJE4F,MPAJE4F
502,ADMIN_DOCUC_PROD,ADMIN_DOCUC_PROD,true,PERFIL,2013-10-14T16:57:44.137+02:00,2013-10-14T16:57:44.137+02:00,MPAJE4F,MPAJE4F
2003,ADMIN_DOCUM_NOTIF,ADMIN_DOCUM_NOTIF,true,PERFIL,2015-06-09T12:44:41.041+02:00,2015-06-09T12:44:41.041+02:00,MPAJE4F,MPAJE4F
362,ADMIN_DOCUMENTACION,ADMIN_DOCUMENTACION,true,PERFIL,2013-07-29T11:39:57.884+02:00,2013-07-29T11:39:57.884+02:00,FPACE9E,FPACE9E
2384,ADMIN_NO_TELF_EXT_AUT_NOT,ADMIN_NO_TELF_EXT_AUT_NOT,true,PERFIL,2016-03-10T11:54:26.143+01:00,2016-03-10T11:54:26.143+01:00,WEB-SERVICE,WEB-SERVICE
3,ADMIN_SIN_TEF_EXTERNO_AUT,ADMIN_SIN_TEF_EXTERNO_AUT,true,PERFIL,2012-08-06T10:43:52.882+02:00,2012-08-06T10:43:52.882+02:00,MPAJE4F,MPAJE4F
147,ADMIN_SIN_TELEFONIA,ADMIN_SIN_TELEFONIA,true,PERFIL,2012-06-26T17:14:01.413+02:00,2012-06-26T17:14:01.413+02:00,MPAJE4F,MPAJE4F
1550,ADMIN_TELEFONIA_MUTUACTIV,ADMIN_TELEFONIA_MUTUACTIV,true,PERFIL,2014-11-04T10:25:15.536+01:00,2014-11-04T10:25:15.536+01:00,MPAJE4F,MPAJE4F
1680,ADMIN_THINCLIENT,ADMIN_THINCLIENT,true,PERFIL,2015-03-12T08:33:48.695+01:00,2015-03-12T08:34:30.251+01:00,DCACA2H,DCACA2H
1682,AS_CON_TEL_EXTERNO,AS_CON_TEL_EXTERNO,true,PERFIL,2015-03-20T11:54:27.002+01:00,2015-03-20T11:54:27.002+01:00,MPAJE4F,MPAJE4F
8,AS_CON_TELEF_EXTERNO_AUTO,AS_CON_TELEF_EXTERNO_AUTO,true,PERFIL,2012-08-08T12:33:03.923+02:00,2012-08-08T12:33:03.923+02:00,MPAJE4F,MPAJE4F
